SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
540602,GTPL        ,B ,Q,84.00,86.50,84.00,84.65,84.00,84.00,175,6296,534397.00,
540611,AUBANK      ,A ,Q,599.25,627.00,599.25,613.20,614.65,593.95,684,11794,7245759.00,
540613,GEL         ,M ,Q,50.35,50.35,50.35,50.35,50.35,50.15,1,3000,151050.00,
540616,ARTEMIS     ,B ,Q,65.10,68.00,65.10,67.25,67.25,69.95,51,6289,419700.00,
540636,HEOF1100RG  ,B ,Q,9.10,9.20,9.10,9.20,9.20,8.91,3,4000,36550.00,
540637,HEOF1100RD  ,B ,Q,9.10,9.10,9.10,9.10,9.10,8.80,1,100,910.00,
540642,SALASAR     ,B ,Q,228.00,249.75,226.00,235.85,249.75,227.45,38,450,104231.00,
540648,PALASHSEC   ,T ,Q,41.35,41.45,40.30,41.10,40.30,40.50,7,1048,43071.00,
540649,AVADHSUGAR  ,B ,Q,365.00,401.95,365.00,399.35,395.50,365.45,328,17017,6769063.00,
540650,MAGADHSUGAR ,T ,Q,86.50,90.95,86.50,90.00,90.00,88.00,13,582,51703.00,
540653,SINTEXPLAST ,B ,Q,22.35,22.65,21.80,22.15,22.15,21.50,1688,425501,9446209.00,
540655,DAFXXIIIGR  ,F ,Q,9.70,9.70,9.70,9.70,9.70,9.16,1,10000,97000.00,
540669,UTINEXT50   ,B ,Q,273.80,275.95,273.00,275.95,275.95,271.65,3,217,59616.00,
540673,SIS         ,B ,Q,777.75,802.35,760.00,790.55,795.00,785.70,158,369119,291805428.00,
540678,COCHINSHIP  ,A ,Q,370.10,381.65,370.10,378.85,378.20,375.55,195,3226,1219543.00,
540680,KIOCL       ,B ,Q,148.80,154.80,144.55,149.30,151.95,148.25,127,2219,331436.00,
540686,SMRUTHIORG  ,X ,Q,130.00,130.00,130.00,130.00,130.00,124.50,1,1,130.00,
540691,ABCAPITAL   ,B ,Q,98.95,101.65,98.00,98.50,98.50,98.15,2378,316672,31422461.00,
540692,APEX        ,B ,Q,348.25,377.00,347.75,371.70,371.70,345.75,759,15383,5597056.00,
540694,ANG         ,M ,Q,41.60,45.50,41.60,45.50,45.50,43.40,4,6400,279200.00,
540695,DWL         ,M ,Q,86.35,86.50,86.35,86.50,86.50,85.05,4,6000,518550.00,
540697,AMFL        ,M ,Q,4.62,4.62,4.25,4.61,4.61,4.20,3,24000,107840.00,
540699,DIXON       ,B ,Q,1945.00,1996.75,1945.00,1954.60,1970.00,1932.30,132,358,702752.00,
540700,BRNL        ,B ,Q,111.00,115.00,111.00,115.00,115.00,111.00,9,200,22748.00,
540701,DCAL        ,B ,Q,231.55,240.00,231.55,235.85,235.85,227.70,372,9446,2229177.00,
540702,LASA        ,B ,Q,20.90,21.25,20.10,20.80,20.70,20.25,55,4401,91332.00,
540704,MATRIMONY   ,B ,Q,486.00,490.25,473.95,489.45,490.25,470.00,12,45,21862.00,
540709,RELHOME     ,B ,Q,40.00,40.90,40.00,40.50,40.50,39.30,400,30899,1253435.00,
540710,CAPACITE    ,B ,Q,235.25,244.65,235.25,243.20,243.00,232.85,133,4080,987841.00,
540715,SAGAR       ,M ,Q,14.22,14.22,14.22,14.22,14.22,13.55,1,3000,42660.00,
540716,ICICIGI     ,A ,Q,889.00,923.00,889.00,910.80,910.80,892.55,1268,15387,14019904.00,
540719,SBILIFE     ,A ,Q,561.00,572.45,561.00,570.80,570.50,563.95,254,4969,2818698.00,
540724,DIAMONDYD   ,B ,Q,1050.00,1115.80,1050.00,1096.20,1096.20,1064.35,62,265,287925.00,
540726,TTFL        ,M ,Q,100.80,100.80,100.80,100.80,100.80,100.00,1,1000,100800.00,
540727,POOJA       ,M ,Q,59.00,59.00,59.00,59.00,59.00,61.00,1,3000,177000.00,
540728,SAYAJIIND   ,XT,Q,530.00,540.00,530.00,540.00,540.00,539.90,3,15,8000.00,
540730,MEHAI       ,M ,Q,76.50,76.50,53.00,53.00,53.00,65.00,2,6000,388500.00,
540737,SGRL        ,M ,Q,64.50,64.60,51.05,51.15,51.20,62.00,13,39000,2233950.00,
540743,GODREJAGRO  ,A ,Q,489.00,496.60,486.45,492.80,492.80,486.90,398,7676,3780240.00,
540744,MESCON      ,XT,Q,15.85,15.85,15.05,15.85,15.85,15.10,18,1090,17170.00,
540749,MASFIN      ,B ,Q,528.75,574.00,528.75,569.30,567.00,522.65,171,1720,969376.00,
540750,IEX         ,A ,Q,155.05,159.40,155.00,158.25,156.20,155.20,104,4127,652125.00,
540755,GICRE       ,A ,Q,272.05,279.95,272.00,277.30,277.05,275.00,166,3472,961295.00,
540757,SCPL        ,M ,Q,125.00,125.10,125.00,125.05,125.10,121.00,2,1600,200080.00,
540762,TIINDIA     ,B ,Q,335.40,343.50,332.95,337.85,343.00,326.25,268,5544,1870499.00,
540767,RNAM        ,A ,Q,172.20,173.75,170.05,171.55,170.95,170.95,119,2218,383571.00,
540768,MAHLOG      ,B ,Q,520.00,532.30,520.00,527.35,522.05,520.50,42,435,228903.00,
540769,NIACL       ,A ,Q,200.00,201.25,197.10,199.35,199.35,196.40,154,2631,523723.00,
540774,IFGLEXPOR   ,B ,Q,241.95,249.00,239.00,247.55,248.00,237.75,15,211,51571.00,
540775,KHADIM      ,B ,Q,567.25,580.15,566.05,566.15,566.15,584.50,26,86,48960.00,
540776,5PAISA      ,B ,Q,195.00,195.15,195.00,195.00,195.00,195.00,24,363,70786.00,
540777,HDFCLIFE    ,A ,Q,385.75,396.20,385.75,392.75,392.75,384.05,851,31296,12291762.00,
540787,ICICIB22    ,B ,Q,34.00,34.74,33.47,34.50,34.74,33.86,131,127496,4359363.00,
540789,DNAMEDIA    ,B ,Q,4.00,4.00,3.63,4.00,4.00,3.81,11,8516,33708.00,
540793,HHOF1140RG  ,B ,Q,8.08,8.20,8.08,8.20,8.20,8.12,13,29878,241693.00,
540797,SHALBY      ,B ,Q,152.85,152.85,147.05,152.20,152.00,148.55,197,7335,1109618.00,
540798,FSC         ,B ,Q,677.90,677.90,660.00,661.85,661.55,664.15,26,225,150319.00,
540799,DACEFRG     ,B ,Q,8.56,8.56,8.56,8.56,8.56,8.62,1,2,17.00,
